店舗,店舗名,郵便番号,地域,住所,営業時間,定休日,メニュー1,価格1,メニュー2,価格2,メニュー3,価格3,メニュー4,価格4,メニュー5,価格5,内容,備考,電話番号,座席数,駐車場台数,緯度,経度,画像URL1,画像URL2,画像URL3,画像URL4
64,若狭ふぐの宿　下亟,917-0105,小浜,小浜市阿納10-15,11:00～14:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3313,40,20,35.534855,135.785325,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
65,四季の宿　かわはら,917-0105,小浜,小浜市阿納11-8,11:00～15:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3046,60,30,35.53434,135.785346,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
66,中川,917-0105,小浜,小浜市阿納11-18,11:00～14:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3311,20,10,35.534386,135.785115,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
67,渚に建つ海鮮の宿　水月,917-0105,小浜,小浜市阿納12-34,12:00～14:20,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3457,70,15,35.534763,35.534763,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
68,四季の民宿　ひろた,917-0105,小浜,小浜市阿納9-1,12:00～14:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3045,40,30,35.535167,135.785443,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
69,グルメ民宿　はまもと,917-0105,小浜,小浜市阿納9-4,12:00～14:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3043,50,20,35.53558,135.785435,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
70,海の宿　ひこ荘,917-0105,小浜,小浜市阿納9-3,11:00～14:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3315,20,10,35.535374,135.78545,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
71,くつろぎの宿　浜頭,917-0105,小浜,小浜市阿納8-4,11:00～14:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3047,40,20,35.535534,135.785208,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
72,ふぐ料理の宿　さいば,917-0105,小浜,小浜市阿納12-73,11:00～14:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3041,40,10,35.53478,135.785089,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
73,まるいち旅館,917-0105,小浜,小浜市阿納11-12,12:00～14:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3049,30,8,35.534626,135.785227,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
74,いそべ,917-0105,小浜,小浜市阿納11-22,11:00～14:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3314,25,20,35.5341,135.785094,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
75,四季の香漂う宿　忠　広田,917-0105,小浜,小浜市阿納7-48,11:00～14:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3310,30,15,35.535464,135.784843,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
76,ふぐかに活魚料理民宿　まるふじ,917-0105,小浜,小浜市阿納9-12,11:00～14:00,不定,若狭めで鯛御膳,"2,700",若狭贅沢めで鯛御膳,"3,564",若狭福ふぐランチ,"4,860",,,,,小浜市阿納地区は、若狭ふぐや鯛などの魚類養殖が盛んです。若狭の海で育ったトラフグやマダイは、身が引き締まって美味しさもひとしおです。自慢の若狭ふぐ・鯛料理を是非ご堪能ください。,要予約,0770-54-3048,40,15,35.534011,135.782414,http://info.pref.fukui.jp/opendata/wakasaji/61-73-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/61-73-3.jpg,
77,やまと庵,917-0073,小浜,小浜市四谷町20-13,11:00～21:00,不定,鯖三昧定食,"1,180",サーモンの竜田揚げと揚げ野菜のトマト風（おこげ入り）定食,"1,080",,,,,,,鯖が苦手な方にも美味しく召し上がっていただける鯖料理。焼き鯖の竜田揚げと揚げ野菜をみそ、マヨネーズ、柑なんばで味付けしたソースで和えました。サラダ感覚で召し上がっていただけます。また、サーモンは子骨を抜いて二度揚げし、素揚げした野菜と一緒にトマトソースで味わっていただきます。,,0770-53-3450,70,,35.495992,135.749536,http://info.pref.fukui.jp/opendata/wakasaji/077-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/077-2.jpg,,
78,民宿佐助,917-0101,小浜,小浜市田烏36-47,12:00～14:00,,船場汁と地場産わかめと自家製へしこのおにぎり,"1,500",,,,,,,,,昔ながらのご当地の素朴な素材の味を、何とか現代の若者やへしこを知らない地域の方にも受け入れてもらうにはどういうメニューが良いかを考えました。おにぎりは、自分で作って体験しながら対話し食べていただきたいと思っています。皆さまのお越しをお待ちしています。,4名様以上、2日前までに要予約,0770-54-3407,10,4,35.537225,135.835329,http://info.pref.fukui.jp/opendata/wakasaji/078-1.jpg,,,
79,プティ・プラージュ,917-0077,小浜,小浜市駅前町1-1 小浜駅構内,11:30～22:00,日・祝,（小浜）サーモンのクロック・ムッシュ,"1,404",,,,,,,,,フランスのカフェの定番メニューであるクロック・ムッシュの具に、マリネして燻製した上質な小浜サーモンを使用し、味付けはハーブをあしらったフレンチらしいメニューといたしました。また、ジャンルをサンドイッチとしたのは、観光客や若い方でも気軽にご注文して頂き、小浜サーモンを食する機会を増やすことが狙いです。,,,,,35.491861,135.74524,http://info.pref.fukui.jp/opendata/wakasaji/079-1.jpg,,,
80,うらたに旅館,917-0113,小浜,小浜市宇久6-9,,,小浜サーモンうる得丼セット,"1,500",,,,,,,,,自分で育てあげたサーモンを１人でも多くの方々に食べていただきたいという思いでこのメニューを考えました。ぜひご賞味ください。,4名様以上、4日前までに要予約,0770-52-2853,50,,35.546299,135.753524,http://info.pref.fukui.jp/opendata/wakasaji/080-1.jpg,,,
81,ホテルうみんぴあ,919-2107,おおい,おおい町成海1‐8,11:30～14:00,,さぼうるランチコース,"2,700",オマール海老のブイヤベース,"2,700",,,,,,,四季折々の地元食材をフレンチスタイルで仕上げたお料理が、リーズナブルな価格でお楽しみいただけます。大きなガラス窓一面に広がる小浜湾の風景を眺めながら、優雅なひとときを。女性に大人気のブイヤベースを中心にデザートも付いたコースをご用意しました。越のルビーや福井県産米などの地元食材も使用。,,0770-77-3700,60,55,35.4809239,135.6318532,http://info.pref.fukui.jp/opendata/wakasaji/78-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/78-2.jpg,,
82,道の駅 うみんぴあ大飯,919-2107,おおい,おおい町成海1-1‐2,9:00～18:00,第1・3月,うみ・ぼーずの海鮮丼,"1,200",,,,,,,,,地元の大島漁港直送の、旬の地魚を使った海鮮丼です。毎日日替わりで、いろいろなお魚をお楽しみいただけます。,団体は要予約,0770-77-4600,80,32,35.4806093,135.6314133,http://info.pref.fukui.jp/opendata/wakasaji/75-1.jpg,,,
83,ホテル流星館 レストラン銀河,917-0375,おおい,おおい町名田庄納田終109-6-1,11:00～15:00,水,焼鯖・へしこ定食,"1,200",若狭がれい定食,"1,200",若狭牛定食,"2,500",,,,,「西の鯖街道」におって京へと運ばれ、珍重されてきた若狭の鯖。鯖のへしことは、そんな鯖を長期保存するために糠漬けにした、若狭地方独特の料理です。へしこと焼き鯖の２つの鯖料理を味わってください。若狭がれいの一夜干しをお手頃な値段で定食にしてご提供いたします。若狭牛をリーズナブルに食べていただきたく、しかも陶板焼という形でご提供いたします。,,0770-67-3000,50,40,35.3951285,135.5852579,http://info.pref.fukui.jp/opendata/wakasaji/74-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/74-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/74-3.jpg,
84,こすえ旅館,919-2101,おおい,おおい町大島28-6,11:00～15:00,不定,おまかせ定食,"1,500",,,,,,,,,「いらっしゃいませ」の笑顔がまぶしい女将の創作手料理です。四季折々の朝獲れ魚介類をふんだんに召し上がっていただけるのは漁師宿ならではです。,要予約,0770-77-0441,15,5,35.5306284,135.6604885,http://info.pref.fukui.jp/opendata/wakasaji/76-1.jpg,,,
85,料理旅館　南川荘,917-0381,おおい,おおい町名田庄三重52-18-1,11:00～21:00,不定,隠れ鯖寿し御膳,"1,800",,,,,,,,,通称「西の鯖街道」とは、古くから京都へ向けて周山街道で塩鯖を運ぶ隠れ鯖街道のこと。鯖寿しに手作りでっちようかんと手打ちそばを添えた当御膳は、年間を通して人気の高いメニューです。,要予約,0770-67-2406,20,15,35.4066461,135.6875252,http://info.pref.fukui.jp/opendata/wakasaji/77-1.jpg,,,
86,うまもんや,919-2111,おおい,おおい町本郷137-7,11:00～14:00,水,若狭路しょうゆかつ丼,800,,,,,,,,,福井県逸品認定商品である若狭の千成屋醤油店の醤油をベースに、地元野菜や生姜などの旨味と風味を凝縮した自家製タレで作ったしょうゆかつ丼です。,,0770-77-1300,20,10,35.4798143,135.6178253,http://info.pref.fukui.jp/opendata/wakasaji/79-1.jpg,,,
87,料理旅館　新佐,917-0382,おおい,おおい町名田庄久坂4-10-2,11:00～22:00,元日,新佐小鍋ご膳,"3,240",名田庄?ござんせ”ご膳,"1,500",,,,,,,新佐小鍋ご膳は、名田庄の豊かな里山で獲れた猪、鮎、松茸など四季折々の旬な食材に地元野菜たっぷりの小鍋と若狭湾で獲れた魚介類の刺身を加えた、若狭の幸満載の昼食です。ご膳は、名田庄を中心とした嶺南地域の素材づくしで、皆さんに是非名田庄に来てくださいという想いを込めて「ござんせ」ご膳と名付けました。,4名様以上、2日前までに要予約（ござんせご膳）,0770-67-2028,10,30,35.3995626,135.6839954,http://info.pref.fukui.jp/opendata/wakasaji/80-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/80-2.jpg,,
88,そば処「よってっ亭」,917-0375,おおい,おおい町名田庄納田終109-1-1,10:00～17:00,水(4月～11月は無休）,鯖そば,800,,,,,,,,,自然薯を練り込んでコシの強さと味の良さが自慢の「じねんじょそば」と、若狭湾の鯖をコラボした「西の鯖街道」の特産品です。,,0770-67-3788,24,37,35.3945426,135.5844425,http://info.pref.fukui.jp/opendata/wakasaji/81-1.jpg,,,
89,レストラン源治,919-2225,高浜,高浜町宮崎63-24-1,11:00～21:00,第1～3木(8月のみ定休なし）,海鮮＆鯖のだんなし定食,"1,512",さとうみ丼,"1,296",福な～れ丼,972,はまなす御膳,"1,296",ふくふく御膳（11～3月限定),2138,「だんなし」とは、地元の言葉で「豪華な、お金持ち」という意味です。鮮魚店直営の源治ならではの海鮮丼と、国産の浜焼き鯖という１日限定１０食の豪華セットです。浜焼き鯖は、たっぷり生姜醤油で食べるのがご当地流。高浜の海の幸と高浜名産杜仲茶のコラボメニュー。地魚を使ってづけ（醤油漬け）にした海鮮丼。山芋とろろを添えて、杜仲茶をトッピングしてあります。さらに、その地魚を使ったあら汁付きです。高浜の特産品である杜仲茶とミネラルたっぷりの天然塩で食べる、新名物のふぐ塩天丼。ふぐ汁付きでとってもお得なセットです。高浜の「大盛り文化」も感じてください！ご飯、地元産ふぐ・ミディトマト・しいたけの天ぷら（杜仲塩）、刺身、ごま豆腐、もずく、切干大根、茶わん蒸し、みそ汁、デザート、コーヒーか紅茶　量を少なめにして、若狭の名物をいろいろ食べられるようにしました。,,0770-72-2522,50,40,35.4863141,135.5524277,http://info.pref.fukui.jp/opendata/wakasaji/85-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/85-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/85-3.jpg,http://info.pref.fukui.jp/opendata/wakasaji/85-4.jpg
90,城山荘,919-2221,高浜,高浜町事代6-1-1,11:00～15:00,不定,お手軽昼食　和み,"1,620",焼鯖柳川膳,"1,500",,,,,,,炊きたての釜飯や地元の新鮮な刺身が味わえます。近くの城山公園散策もおすすめです。,要予約（2名～）,0770-72-0357,50,30,35.4949885,135.5520414,http://info.pref.fukui.jp/opendata/wakasaji/82-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/82-2.jpg,,
91,道の駅　シーサイド高浜,919-2205,高浜,高浜町下車持48-10,10:00～21:00,年末年始,若狭路花籠御膳,"1,200",完熟フルーツトマト贅沢うどん,880,,,,,,,四季折々の旬なお魚の天ぷら、野菜の天ぷらをメインに小鉢もすべて手作り！彩り豊かで見て楽しむ食べて満足な御膳です。天ぷら・小鉢の内容は季節により変更もございます。高浜名産フルーツトマトをふんだんに使用した新感覚うどんです。トマトの甘みと酸味がマッチしたスープうどんです。とろけるチーズが絡みやみつき必須！満足いく逸品です。,,0770-72-6666,120,100,35.4883846,135.5958794,http://info.pref.fukui.jp/opendata/wakasaji/84-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/84-2.jpg,,
92,イルマーレ,919-2213,高浜,高浜町畑11-15-14,11:00～22:00,,へしこオイルのアヒージョ　～ふぐと彩り野菜～,830,,,,,,,,,アヒージョとはスペイン語で『ニンニク風味』を表す言葉です。「へしこ」を丸ごと低温のオリーブオイルでじっくり煮込んだ「へしこオイル」は当店自慢。独特の旨みあるオイルで、ふぐやタコ、高浜育ちの野菜をアヒージョしました。※食材は季節によって変わります。,,0770-72-5120,60,30,35.4885876,135.5355498,http://info.pref.fukui.jp/opendata/wakasaji/83-1.jpg,,,
93,FAMILIAR,919-2201,高浜,高浜町和田110-26-3,11:00～24:00,水,FAMIふぐ天トロ丼,950,,,,,,,,,若狭名物ふぐ、自家栽培の米とたっぷりの野菜のオリジナル丼。特製だれのかかった天ぷらに、とろろソースをかけるとまた違った味わいに。若狭湾が一望できる最高のロケーションでどうぞ。お酒やスイーツも楽しめます。,,0770-72-6630,50,10,35.4914594,135.5725804,http://info.pref.fukui.jp/opendata/wakasaji/86-1.jpg,,,
94,ふぐ料理　五作荘,919-2201,高浜,高浜町和田131-16-1,11:00～14:00,不定,福ふく鮨,"1,000",,,,,,,,,若狭ふぐの美味しさをもっと気軽に味わっていただきたいとの想いから生まれたメニューです。ふぐの唐揚げと照り焼きの２種類を酢飯に乗せ、地元の季節の野菜を彩りに添えています。,要予約,0770-72-0164,20,10,35.4950497,135.5789708,http://info.pref.fukui.jp/opendata/wakasaji/87-1.jpg,,,
